acid,epoxide,predicted_tg,dynamic_density
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,NC(=O)NCCCCCC(=O)N(CC1CO1)CC1CO1,359.5788140928624,0.0975609756097561
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,NC(=O)NCCCCCC(=O)N(CC1CO1)CC1CO1,359.5788140928624,0.09615384615384616
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,352.5046092907835,0.09433962264150944
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,O=C(C(=O)N(Cc1ccccc1)CC1CO1)N1CCC(C2CO2)CC1,355.2444061392926,0.09259259259259259
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,NC(=O)NCCCCCC(=O)N(CC1CO1)CC1CO1,360.59584293244444,0.09090909090909091
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,Cc1cc(NC(=O)CCC2CO2)ccc1NC(=O)CCC1CO1,358.82536313323413,0.09090909090909091
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,Cc1cc(NC(=O)CCC2CO2)ccc1NC(=O)CCC1CO1,358.82536313323413,0.09090909090909091
O=C(O)CCN(CCn1cccn1)CC(=O)O,Cn1cc(C(=O)Nc2ccc(OCC3CO3)cc2)c(OCC2CO2)nc1=O,355.317865224973,0.09090909090909091
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,Cn1cc(C(=O)Nc2ccc(OCC3CO3)cc2)c(OCC2CO2)nc1=O,366.5550558499462,0.08928571428571429
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,359.9588734407326,0.08928571428571429
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,N#Cc1ccccc1Oc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,352.5046092907835,0.08928571428571429
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,359.9588734407326,0.08888888888888889
O=C(O)CCN(CCn1cccn1)CC(=O)O,Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)N(CC1CO1)CC1CO1,353.60251711325753,0.08888888888888889
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,O=C(C(=O)N(Cc1ccccc1)CC1CO1)N1CCC(C2CO2)CC1,370.33059616599974,0.08771929824561403
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)N(CC1CO1)CC1CO1,364.83970773823074,0.08771929824561403
