dianhydride,diamine,build_status,smiles,predicted_tg_k,predicted_tg_c,interval_k,ct_risk,transparent_proxy,synthesizable,synth_issues,max_train_tanimoto,novel
PMDA,ODA,ok,O=c1c2cc3c(=O)n4c(=O)c3cc2c(=O)n1-c1ccc(cc1)Oc1ccc-4cc1,583.1341341718816,309.9841341718816,108.29048866254463,3.0,False,True,,1.0,False
BPDA,ODA,ok,O=C1c2ccc3cc2C(=O)N1c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2ccc-3cc2C1=O,537.7035200151895,264.5535200151895,108.29048866254463,4.0,False,True,,1.0,False
ODPA,ODA,ok,O=C1c2ccc3cc2c(=O)n1c1ccc(cc1)oc1ccc(cc1)n1c(=O)c2cc(ccc2C1=O)o3,492.4944794550483,219.34447945504832,108.29048866254463,4.0,False,True,,1.0,False
BTDA,ODA,ok,O=C1c2ccc3c(c2)C(=O)N(C3=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3ccc1cc3C2=O,552.6848075759289,279.5348075759289,108.29048866254463,4.0,False,True,,1.0,False
6FDA,ODA,ok,O=C1c2ccc3cc2C(=O)N1c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)C3(C(F)(F)F)C(F)(F)F,546.4749291870129,273.3249291870129,108.29048866254463,0.0,True,True,,1.0,False
DSDA,ODA,ok,O=C1c2ccc3cc2C(=O)N1c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)S3(=O)=O,540.6890348987275,267.53903489872755,108.29048866254463,3.0,False,True,,1.0,False
HPMDA,ODA,ok,O=C1C2CC3C(=O)N4C(=O)C3CC2C(=O)N1c1ccc(cc1)Oc1ccc4cc1,512.0346275420811,238.88462754208115,108.29048866254463,0.0,True,True,,0.75,True
BCDA,ODA,ok,O=C1C2C=CC3C(=O)N1c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C3C1=O,551.2825227717644,278.13252277176446,108.29048866254463,0.0,True,False,dianhydride:sa_score>4.5,0.6176470588235294,True
CBDA,ODA,ok,O=C1C2C3C(=O)N1c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C3C1=O,527.4102603191478,254.26026031914785,108.29048866254463,0.0,True,True,,0.7241379310344828,True
BPADA,ODA,ok,CC1(C)c2ccc(cc2)Oc2ccc3c(c2)C(=O)N(C3=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3ccc(cc3C2=O)Oc2ccc1cc2,499.2340566954339,226.0840566954339,108.29048866254463,6.0,False,True,,1.0,False
HQDPA,ODA,ok,O=C1c2ccc3cc2C(=O)N1c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)Oc1ccc(cc1)O3,516.9381050505588,243.78810505055878,108.29048866254463,5.0,False,True,,1.0,False
NTDA,ODA,ok,O=c1c(=O)n2c(=O)c3ccc4c(=O)n(c(=O)c5ccc1c4c35)-c1ccc(cc1)Oc1ccc-2cc1,562.5937748464146,289.4437748464146,108.29048866254463,6.0,False,True,,0.6451612903225806,True
PMDA,PDA,ok,O=c1c2cc3c(=O)n4c(=O)c3cc2c(=O)n1-c1ccc-4cc1,660.3987205503882,387.24872055038827,108.29048866254463,2.0,False,True,,1.0,False
BPDA,PDA,ok,O=C1c2ccc3cc2c(=O)n1c1ccc(cc1)n1c(=O)c2cc3ccc2C1=O,593.5133495308795,320.36334953087953,108.29048866254463,3.0,False,True,,1.0,False
