dianhydride,diamine,build_status,smiles,predicted_tg_k,predicted_tg_c,interval_k,ct_risk,transparent_proxy,synthesizable,synth_issues,max_train_tanimoto,novel
PMDA,6FpDA,ok,O=c1c2cc3c(=O)n4c(=O)c3cc2c(=O)n1-c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc-4cc1,649.9001074104151,376.7501074104151,108.29048866254463,-1.0,True,True,,1.0,False
6FDA,DMB,ok,Cc1cc2ccc1-c1ccc(c(C)c1)N1C(=O)c3ccc(cc3C1=O)C(C(F)(F)F)(C(F)(F)F)c1ccc3c(c1)C(=O)N2C3=O,646.9286967449631,373.7786967449631,108.29048866254463,0.0,True,True,,0.8222222222222222,True
6FDA,TMB,ok,Cc1cc2c(C)cc1-c1c(C)cc(cc1C)N1C(=O)c3ccc(cc3C1=O)C(C(F)(F)F)(C(F)(F)F)c1ccc3c(c1)C(=O)N2C3=O,638.0331936030257,364.8831936030257,108.29048866254463,0.0,True,True,,0.7777777777777778,True
PMDA,ABTFMB,ok,O=C1Nc2ccc(c(C(F)(F)F)c2)-c2ccc(cc2C(F)(F)F)NC(=O)c2ccc(cc2)-n2c(=O)c3cc4c(=O)n(c(=O)c4cc3c2=O)-c2ccc1cc2,636.5329429878474,363.3829429878474,108.29048866254463,1.0,True,True,,0.6341463414634146,True
PMDA,TFMB,ok,O=c1c2cc3c(=O)n4c(=O)c3cc2c(=O)n1-c1ccc(c(C(F)(F)F)c1)-c1ccc-4cc1C(F)(F)F,633.2019503144522,360.05195031445226,108.29048866254463,-1.0,True,True,,1.0,False
DSDA,CHDA,ok,O=C1c2ccc3cc2C(=O)N1[C@H]1CC[C@H](CC1)N1C(=O)c2ccc(cc2C1=O)S3(=O)=O,623.9470358236679,350.7970358236679,108.29048866254463,-1.0,True,True,,1.0,False
DSDA,6FpDA,ok,O=C1c2ccc3cc2C(=O)N1c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)S3(=O)=O,617.5750766224729,344.42507662247294,108.29048866254463,-1.0,True,True,,0.85,True
CBDA,TMB,ok,Cc1cc2c(C)cc1-c1c(C)cc(cc1C)N1C(=O)C3C(C1=O)C1C(=O)N2C(=O)C31,613.7908057190514,340.6408057190514,108.29048866254463,0.0,True,True,,0.3617021276595745,True
CBDA,DMB,ok,Cc1cc2ccc1-c1ccc(c(C)c1)N1C(=O)C3C4C(=O)N2C(=O)C4C3C1=O,613.4096481950486,340.2596481950486,108.29048866254463,0.0,True,True,,0.42857142857142855,True
6FDA,DABA,ok,O=C1Nc2ccc(cc2)N2C(=O)c3ccc(cc3C2=O)C(C(F)(F)F)(C(F)(F)F)c2ccc3c(c2)C(=O)N(C3=O)c2ccc1cc2,612.5210161005439,339.3710161005439,108.29048866254463,0.0,True,True,,0.975609756097561,True
