id	chapters	category	title	url	source_page	note
wos-ai4polymer-export	1,3	wos	Web of Science 检索导出：AI 驱动高分子材料 2010–2027	local:wos/README.md	https://www.webofscience.com/	3178 条记录的元数据导出，检索式、文件清单与访问日期见 references/wos/README.md
ai4polymer-awesome-list	1,2,3	documents	AI4Polymer：AI 驱动高分子材料研究资源清单	https://github.com/ShiqianTan/AI4Polymer	https://github.com/ShiqianTan/AI4Polymer	领域资源分类：设计发现、性质预测、AI 方法、数据与工具
polymer-informatics-2017	1,6	papers	Polymer Informatics: Opportunities and Challenges	https://pubs.acs.org/doi/10.1021/acsmacrolett.6b00936	https://pubs.acs.org/doi/10.1021/acsmacrolett.6b00936	高分子信息学奠基综述
polymer-genome-2018	1,2,6,7,10,16	papers	Polymer Genome: A Data-Powered Polymer Informatics Platform for Property Predictions	https://pubs.acs.org/doi/10.1021/acs.jpcc.8b02913	https://pubs.acs.org/doi/10.1021/acs.jpcc.8b02913	多性质预测平台与描述符体系
polymer-informatics-next-2021	1,3	papers	Polymer Informatics: Current Status and Critical Next Steps	https://doi.org/10.1016/j.mser.2020.100595	https://www.sciencedirect.com/science/article/pii/S0927796X20300613	数据、表示与可迁移性的关键问题
polymer-dielectrics-review-2022	4,15	papers	Polymer dielectrics for high-temperature capacitive energy storage	https://pubs.acs.org/doi/10.1021/acs.chemrev.1c00968	https://pubs.acs.org/doi/10.1021/acs.chemrev.1c00968	介电储能综述，被引最高的领域文献
sustainable-polymers-ai-2024	15,16	papers	Machine learning for sustainable polymer design	https://www.nature.com/articles/s41578-024-00654-5	https://www.nature.com/articles/s41578-024-00654-5	可持续高分子与 AI 的结合
thermal-conductivity-ml-2019	6,10,13,15	papers	Machine learning discovery of high thermal conductivity polymers	https://www.nature.com/articles/s41524-019-0247-3.pdf	https://www.nature.com/articles/s41524-019-0247-3	高通量筛选与热导率预测
gas-separation-ml-2020	6,10,15,16	papers	Machine learning–enabled high-throughput screening of polymers for gas separation	https://www.science.org/doi/10.1126/sciadv.abc6216	https://www.science.org/doi/10.1126/sciadv.abc6216	膜分离材料筛选
tg-benchmark-2021	3,4,6,16,7	papers	Benchmarking machine learning models for polymer informatics: glass transition temperature	https://pubs.acs.org/doi/10.1021/acs.jcim.0c01336	https://pubs.acs.org/doi/10.1021/acs.jcim.0c01336	Tg 预测基准与数据划分
solubility-hansen-2019	4,6	papers	Prediction of Hansen solubility parameters using machine learning	https://pubs.acs.org/doi/10.1021/acs.jcim.9b00485	https://pubs.acs.org/doi/10.1021/acs.jcim.9b00485	溶解度参数与 QSPR
smiles-1988	2,14	papers	SMILES, a chemical language and information system	https://pubs.acs.org/doi/10.1021/ci00057a005	https://pubs.acs.org/doi/10.1021/ci00057a005	字符串表示的原始工作
bigsmiles-2019	2,9,14	papers	BigSMILES: A Structurally-Based Line Notation for Describing Macromolecules	https://pubs.acs.org/doi/10.1021/acscentsci.9b00476	https://pubs.acs.org/doi/10.1021/acscentsci.9b00476	随机结构高分子的字符串表示
ecfp-rogers-hahn-2010	1,2	papers	Extended-Connectivity Fingerprints	https://pubs.acs.org/doi/10.1021/ci100050t	https://pubs.acs.org/doi/10.1021/ci100050t	ECFP/Morgan 指纹定义
mordred-2018	1,2	papers	Mordred: a molecular descriptor calculator	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-018-0258-y	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-018-0258-y	二维描述符集合
polybert-2023	1,2,6,9,10,14,16,7	papers	PolyBERT: a chemical language model to enable fully machine-driven ultrafast polymer informatics	https://www.nature.com/articles/s41467-023-39868-6.pdf	https://www.nature.com/articles/s41467-023-39868-6	聚合物语言模型与表示
mpnn-2017	1,6,7	papers	Neural Message Passing for Quantum Chemistry	https://arxiv.org/abs/1704.01212	https://arxiv.org/abs/1704.01212	消息传递图神经网络
schnet-2017	1,6,7	papers	SchNet: A continuous-filter convolutional neural network for modeling quantum interactions	https://arxiv.org/abs/1706.08566	https://arxiv.org/abs/1706.08566	等变/连续滤波网络
nequip-2022	1,5,7	papers	E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials	https://www.nature.com/articles/s41467-022-29939-5.pdf	https://www.nature.com/articles/s41467-022-29939-5	等变力场
mace-2022	5,7	papers	MACE: Higher Order Equivariant Message Passing Neural Networks	https://arxiv.org/abs/2206.07697	https://arxiv.org/abs/2206.07697	高阶等变力场
pinn-2019	7	papers	Physics-informed neural networks	https://arxiv.org/pdf/1711.10561	https://www.sciencedirect.com/science/article/pii/S0021999118307125	物理信息神经网络
deeppolymer-2020	6,7,11,13	papers	Deep learning for polymer property prediction with limited data	https://arxiv.org/abs/2004.10122	https://arxiv.org/abs/2004.10122	小数据下的聚合物性质预测
polygan-2020	9	papers	PolyGAN: High-Order Polymer Property Prediction and Generation	https://pubs.acs.org/doi/10.1021/acs.jcim.0c01029	https://pubs.acs.org/doi/10.1021/acs.jcim.0c01029	生成对抗网络生成聚合物
polyinfo-2021	3,12	datasets	PoLyInfo polymer database	https://polymer.nims.go.jp/	https://polymer.nims.go.jp/	实验与计算聚合物性质数据库
pi1m-2020	1,2,3,9,12,16,7	datasets	PI1M: A Benchmark Database for Polymer Informatics	https://pubs.acs.org/doi/10.1021/acs.jcim.0c00726	https://pubs.acs.org/doi/10.1021/acs.jcim.0c00726	百万级聚合物虚拟库
open-macromolecular-genome	3,9,10,12,16	datasets	Open Macromolecular Genome	https://github.com/TheJacksonLab/OpenMacromolecularGenome	https://github.com/TheJacksonLab/OpenMacromolecularGenome	可合成聚合物的开放基因组
smipoly-2023	3,9,10,12	datasets	SMiPoly: Generation of a Synthesizable Polymer Virtual Library	https://pubs.acs.org/doi/10.1021/acs.jcim.3c00277	https://pubs.acs.org/doi/10.1021/acs.jcim.3c00277	可合成虚拟库生成
kaggle-polymer-2025	3,16	datasets	NeurIPS Open Polymer Prediction 2025	https://www.kaggle.com/competitions/neurips-open-polymer-prediction-2025	https://www.kaggle.com/competitions/neurips-open-polymer-prediction-2025	多性质预测竞赛与盲测
rdkit-tools	2,6,12	documents	RDKit: Open-source cheminformatics	https://www.rdkit.org/docs/GettingStartedInPython.html	https://www.rdkit.org/	指纹、描述符与分子处理
ase-tools	5	documents	Atomic Simulation Environment (ASE)	https://wiki.fysik.dtu.dk/ase/	https://wiki.fysik.dtu.dk/ase/	原子模拟与计算接口
pyscf-tools	5	documents	PySCF: Python-based Simulations of Chemistry Framework	https://pyscf.org/	https://pyscf.org/	量子化学计算
lammps-tools	5	documents	LAMMPS Molecular Dynamics Simulator	https://www.lammps.org/	https://www.lammps.org/	分子动力学
openmm-tools	5	documents	OpenMM	https://openmm.org/	https://openmm.org/	GPU 分子动力学
ks-dft-1965	5	papers	Inhomogeneous Electron Gas	https://link.aps.org/doi/10.1103/PhysRev.140.A1133	https://link.aps.org/doi/10.1103/PhysRev.140.A1133	密度泛函理论基础
md-1957	5	papers	Phase Transition for a Hard Sphere System	https://pubs.aip.org/aip/jcp/article/27/5/1208/207705	https://pubs.aip.org/aip/jcp/article/27/5/1208/207705	分子动力学方法起点
gpml-2006	6,8,10,11	documents	Gaussian Processes for Machine Learning	http://www.gaussianprocess.org/gpml/	http://www.gaussianprocess.org/gpml/	高斯过程回归教材
bo-review-2018	10,11,13	papers	A Tutorial on Bayesian Optimization	https://arxiv.org/abs/1807.02811	https://arxiv.org/abs/1807.02811	贝叶斯优化综述
self-driving-lab-2020	1,11,13	papers	A self-driving laboratory for accelerated discovery of thin-film materials	https://www.science.org/doi/10.1126/sciadv.aaz8867	https://www.science.org/doi/10.1126/sciadv.aaz8867	自驱动实验室案例
self-driving-lab-review-2023	1,8,12,13,16	papers	Autonomous experimentation systems for materials development	https://www.nature.com/articles/s41578-023-00587-5	https://www.nature.com/articles/s41578-023-00587-5	自主实验系统综述
alab-2023	1,13	papers	An autonomous laboratory for the accelerated synthesis of novel materials	https://www.nature.com/articles/s41586-023-06734-w	https://www.nature.com/articles/s41586-023-06734-w	A-Lab 自主合成
coscientist-2023	1,12,13,14	papers	Autonomous chemical research with large language models	https://www.nature.com/articles/s41586-023-06792-0	https://www.nature.com/articles/s41586-023-06792-0	LLM 驱动的自主化学研究
chemcrow-2023	1,12,14	papers	ChemCrow: Augmenting large-language models with chemistry tools	https://www.science.org/doi/10.1126/sciadv.adk1059	https://www.science.org/doi/10.1126/sciadv.adk1059	化学工具调用智能体
rag-2020	1,14	papers	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	https://arxiv.org/abs/2005.11401	https://arxiv.org/abs/2005.11401	检索增强生成
selfies-2020	2,9	papers	Self-Referencing Embedded Strings (SELFIES): A 100% robust molecular string representation	https://arxiv.org/abs/1905.13741	https://arxiv.org/abs/1905.13741	机器学习可用的鲁棒字符串表示
moleculenet-2018	2,3,6,16	papers	MoleculeNet: A Benchmark for Molecular Machine Learning	https://arxiv.org/abs/1703.00564	https://pubs.rsc.org/en/content/articlelanding/2018/sc/c7sc02664a	小分子基准与划分策略
chemberta-2022	1,2,14	papers	ChemBERTa: Large-Scale Self-Supervised Pretraining for Molecular Property Prediction	https://arxiv.org/abs/2010.09885	https://arxiv.org/abs/2010.09885	字符串自监督预训练表示
